Feature: workclass
Private: precision: 0.82, recall: 0.52, F-beta: 0.64
Self-emp-not-inc: precision: 0.65, recall: 0.51, F-beta: 0.57
Local-gov: precision: 0.78, recall: 0.67, F-beta: 0.72
Self-emp-inc: precision: 0.86, recall: 0.72, F-beta: 0.78
Federal-gov: precision: 0.89, recall: 0.60, F-beta: 0.72
State-gov: precision: 0.88, recall: 0.70, F-beta: 0.78
?: precision: 0.71, recall: 0.54, F-beta: 0.61
Never-worked: precision: 1.00, recall: 1.00, F-beta: 1.00
Without-pay: precision: 1.00, recall: 1.00, F-beta: 1.00

Feature: education
11th: precision: 1.00, recall: 0.25, F-beta: 0.40
Prof-school: precision: 0.88, recall: 0.87, F-beta: 0.88
Some-college: precision: 0.88, recall: 0.31, F-beta: 0.46
HS-grad: precision: 0.92, recall: 0.24, F-beta: 0.38
5th-6th: precision: 1.00, recall: 0.00, F-beta: 0.00
7th-8th: precision: 0.50, recall: 0.12, F-beta: 0.20
Assoc-voc: precision: 0.88, recall: 0.43, F-beta: 0.58
Bachelors: precision: 0.73, recall: 0.84, F-beta: 0.78
Masters: precision: 0.82, recall: 0.83, F-beta: 0.83
12th: precision: 1.00, recall: 0.29, F-beta: 0.44
Assoc-acdm: precision: 0.90, recall: 0.42, F-beta: 0.57
10th: precision: 1.00, recall: 0.30, F-beta: 0.46
9th: precision: 1.00, recall: 0.00, F-beta: 0.00
1st-4th: precision: 1.00, recall: 0.00, F-beta: 0.00
Doctorate: precision: 0.88, recall: 0.98, F-beta: 0.93
Preschool: precision: 1.00, recall: 1.00, F-beta: 1.00

Feature: marital-status
Married-civ-spouse: precision: 0.80, recall: 0.60, F-beta: 0.69
Widowed: precision: 1.00, recall: 0.35, F-beta: 0.52
Never-married: precision: 0.95, recall: 0.34, F-beta: 0.50
Separated: precision: 1.00, recall: 0.40, F-beta: 0.57
Married-spouse-absent: precision: 0.50, recall: 0.50, F-beta: 0.50
Divorced: precision: 0.88, recall: 0.31, F-beta: 0.46
Married-AF-spouse: precision: 1.00, recall: 0.00, F-beta: 0.00

Feature: occupation
Other-service: precision: 1.00, recall: 0.12, F-beta: 0.22
Prof-specialty: precision: 0.84, recall: 0.78, F-beta: 0.81
Protective-serv: precision: 0.88, recall: 0.49, F-beta: 0.63
